Region,city,facility_ID,Facilitylicensingtypearname,Facilityclassificationtypearname,Floorscount,RegularRoomsCount,Regularsuitescount,DeluxeSuitesCount,ParkingsCount
0xB589F43B919254846B7098154FA77DA6,0xD8DCA46B7BECA161DFAF02A9A64D5249,2324,وحدات سكنية مفروشة,درجة رابعة,3,0,10,10,50
0xB589F43B919254846B7098154FA77DA6,0xA1E007C7D598D34F14F2B421499E5A6F,2325,وحدات سكنية مفروشة,درجة رابعة,3,3,9,0,0
0xB589F43B919254846B7098154FA77DA6,0xB8132EA0F9E686F0A4CE303D728C97A1,2326,وحدات سكنية مفروشة,درجة رابعة,3,11,5,5,18
0x3902A9082755502A7C94656FA29CD204,0x22BE512CE352A197B96D6126B3985258,2327,فندق,نجمة واحدة,3,54,5,0,20
0x3902A9082755502A7C94656FA29CD204,0x4B0BBC30F53129966476FB4CFB725DE8,2328,وحدات سكنية مفروشة,درجة رابعة,3,0,23,0,23
0x3902A9082755502A7C94656FA29CD204,0x22BE512CE352A197B96D6126B3985258,2329,وحدات سكنية مفروشة,درجة ثانية,4,6,22,4,3
0x3902A9082755502A7C94656FA29CD204,0x22BE512CE352A197B96D6126B3985258,2330,وحدات سكنية مفروشة,درجة رابعة,2,7,8,0,30
0x3902A9082755502A7C94656FA29CD204,0x4B0BBC30F53129966476FB4CFB725DE8,2331,وحدات سكنية مفروشة,درجة ثالثة,4,25,10,2,30
0x94F0C94E071AAA9D670BB26FB7DB0F99,0xE8E1D5BA0E667A040E5784C8445C27EB,2332,وحدات سكنية مفروشة,درجة رابعة,4,0,18,0,1
0x94F0C94E071AAA9D670BB26FB7DB0F99,0x38E37DA66F10C5011452E4B120DDB847,2333,وحدات سكنية مفروشة,درجة رابعة,3,9,0,14,2
0x94F0C94E071AAA9D670BB26FB7DB0F99,0x80968F2CE17E3EB9136F67B67F4701C5,2334,وحدات سكنية مفروشة,درجة رابعة,4,3,13,0,20
0x94F0C94E071AAA9D670BB26FB7DB0F99,0x3BBB34F9F5A3B6FBAE075622B483B24F,2335,وحدات سكنية مفروشة,درجة رابعة,3,4,22,11,18
0x94F0C94E071AAA9D670BB26FB7DB0F99,0x38E37DA66F10C5011452E4B120DDB847,2336,وحدات سكنية مفروشة,درجة ثالثة,4,14,14,4,14
0xC6AF9AC6BF1E23A3E62BEEF3A4656DC3,0xFB7D7159FAF621E2717A3E45E9B53E77,2337,فندق,نجمة واحدة,4,29,0,0,0
0xC6AF9AC6BF1E23A3E62BEEF3A4656DC3,0xFB7D7159FAF621E2717A3E45E9B53E77,2338,فندق,نجمة واحدة,6,87,17,1,20
0xC6AF9AC6BF1E23A3E62BEEF3A4656DC3,0xE93779C418A38F79AC92483CD63CF3CE,2339,فندق,نجمتان,9,86,0,1,6
0xC6AF9AC6BF1E23A3E62BEEF3A4656DC3,0xFB7D7159FAF621E2717A3E45E9B53E77,2340,فندق,نجمة واحدة,11,179,0,0,2
0xC6AF9AC6BF1E23A3E62BEEF3A4656DC3,0xFB7D7159FAF621E2717A3E45E9B53E77,2341,فندق,ثلاثة نجوم,25,289,0,0,16
0xC6AF9AC6BF1E23A3E62BEEF3A4656DC3,0xFB7D7159FAF621E2717A3E45E9B53E77,2342,فندق,نجمة واحدة,9,132,0,0,17
0xC6AF9AC6BF1E23A3E62BEEF3A4656DC3,0xFB7D7159FAF621E2717A3E45E9B53E77,2344,فندق,خمسة نجوم,12,1136,116,5,350
0xC6AF9AC6BF1E23A3E62BEEF3A4656DC3,0xFB7D7159FAF621E2717A3E45E9B53E77,2345,فندق,ثلاثة نجوم,8,81,15,6,26
0xC6AF9AC6BF1E23A3E62BEEF3A4656DC3,0xFB7D7159FAF621E2717A3E45E9B53E77,2346,فندق,نجمة واحدة,9,112,0,0,0
0xB74576283864356637DF64230F3987C8,0x3300CBFE6331C95C60370671564AB40F,2348,فندق,خمسة نجوم,18,164,30,30,580
0xB74576283864356637DF64230F3987C8,0x3300CBFE6331C95C60370671564AB40F,2349,فندق,أربعة نجوم,6,20,88,9,86
